Image Name | Expected Plate | Detected Plate | Match | Confidence | CER 
--------------------------------------------------------------------------------
004W26.png | zh933108 | zh933108 | ✓ | 0.96 | 1.00 
005A4.png | 7vtg00 | 7vtg00 | ✓ | 0.37 | 1.00 
005LAZ9.png | 7vtg00 | 7vtg00 | ✓ | 0.84 | 1.00 
00C80X2.png | 2k08300 | 8300 | ✗ | 1.00 | 0.57 
00E8V.png | 6a83007 | 6a8 | ✗ | 0.70 | 0.43 
00PP8BS.png | sb84400 | sb84400 | ✓ | 0.87 | 1.00 
00PP8S.png | sb84400 | sb84400 | ✓ | 0.70 | 1.00 
00QR8J.png | jus481 | jus | ✗ | 0.72 | 0.50 
02WE605T.png | 02ke16057 | irl | ✗ | 0.99 | 0.00 
06I846.png | 9t81190 | 1190 | ✗ | 0.84 | 0.57 
06K6BM.png | wr9790a | wr97904 | ✗ | 0.99 | 0.86 
06L9.png | etb903 | etb | ✗ | 1.00 | 0.50 
06NXXL.png | 7xkn90 | zxkn90 | ✗ | 0.94 | 0.83 
06NYXZ.png | 7xkn09 | 7xkn90 | ✗ | 1.00 | 0.67 
06ZFLH0.png | drt290 | drt29 | ✗ | 0.93 | 0.83 
08G9VY.png | 4a49850 | 9850 | ✗ | 1.00 | 0.57 
08ZCZ.png | rp73280 | rp73280 | ✓ | 0.58 | 1.00 
09ANL0M.png | wotny60 | pl | ✗ | 1.00 | 0.00 
09CI0Z5.png | z01350 | fiz0135019 | ✗ | 0.52 | 0.33 
09CL0ZE.png | z01350 | iz0135019 | ✗ | 0.43 | 0.50 
0BCZ19C.png | 3si2390 | 2390 | ✗ | 1.00 | 0.57 
0C7J9Z.png | 2st2130 | 2130 | ✗ | 1.00 | 0.57 
0C96ZVZ.png | 2az9530 | 9530 | ✗ | 1.00 | 0.57 
0C9S6H.png | fbs430 | lt | ✗ | 0.70 | 0.00 
0CC9049.png | 6p06330 | 6330 | ✗ | 0.85 | 0.57 
0E96HZ6.png | hz933108 | zh933108 | ✗ | 0.79 | 0.75 
0E96Z.png | zh933108 | zh9331085 | ✗ | 0.14 | 0.88 
0G99Z.png | 2l45501 | 2l4 | ✗ | 0.94 | 0.43 
0L868S86.png | 9b59810 | 9810: | ✗ | 0.91 | 0.43 
0P0X569.png | 9sxd40 | 9sxd40 | ✓ | 1.00 | 1.00 
0P9SZ35.png | scz56402 | scz56402 | ✓ | 0.92 | 1.00 
0RZ98AS.png | sv857bd | svo857bd | ✗ | 0.47 | 0.86 
0X009B.png | 320xd | 320xd | ✓ | 0.91 | 1.00 
0Z0928SV.png | 1sp5070 | 5070 | ✗ | 1.00 | 0.57 
0Z1L0VZ.png | 2aj1420 | 1420 | ✗ | 0.59 | 0.57 
0Z686ZC.png | 3z98970 | 8970 | ✗ | 1.00 | 0.57 
0Z98LX.png | xtr520 | xtr520 | ✓ | 0.48 | 1.00 
0ZVZASC.png | 3sy2120 | 2120 | ✗ | 1.00 | 0.57 
1.png | 36ml892 | 36ml892 | ✓ | 0.80 | 1.00 
10.png | 77fp776 | 1fr776 | ✗ | 0.46 | 0.57 
11.png | 88cc082 | 88 | ✗ | 1.00 | 0.29 
