Image Name | Expected Plate | Detected Plate | Match | Confidence | CER 
--------------------------------------------------------------------------------
1.png | 36ml892 | 36ml892 | ✓ | 0.80 | 1.00 
10.png | 77fp776 | 1fr776 | ✗ | 0.46 | 0.57 
11.png | 88cc082 | 88 | ✗ | 1.00 | 0.29 
12.png | 35ug680 | "35uug680 | ✗ | 0.32 | 0.71 
13.png | 36tu537 | 4ml36tu537 | ✗ | 0.20 | 0.57 
14.png | 01of101 | 01of101 | ✓ | 0.99 | 1.00 
15.png | 44aa474 | 44aa474 | ✓ | 1.00 | 1.00 
16.png | 36pq246 | ai36pq246 | ✗ | 0.60 | 0.71 
17.png | 09qq800 | 02qq800 | ✗ | 0.76 | 0.86 
18.png | 78cz788 | 78cz788 | ✓ | 0.81 | 1.00 
19.png | 91xd091 | p1xd1 | ✗ | 0.41 | 0.57 
2.png | 37an932 | 37an932 | ✓ | 0.72 | 1.00 
20.png | 35gv213 | am | ✗ | 0.46 | 0.00 
21.png | 60oq404 | am | ✗ | 1.00 | 0.00 
22.png | 60xq909 | fi6gxq909 | ✗ | 0.56 | 0.57 
23.png | 89gm777 | 89gm777 | ✓ | 0.75 | 1.00 
24.png | 07tm717 | am | ✗ | 0.98 | 0.14 
25.png | 36fx312 | 36fx312 | ✓ | 0.85 | 1.00 
26.png | 04aa202 | am | ✗ | 0.83 | 0.14 
27.png | 23qq777 | 2300777 | ✗ | 0.93 | 0.71 
28.png | 35mf902 | 35mf902 | ✓ | 0.76 | 1.00 
29.png | 36ux923 | 36ux923 | ✓ | 0.33 | 1.00 
3.png | 36vt734 | 9r6vt734 | ✗ | 0.10 | 0.71 
30.png | 88sl818 | ami | ✗ | 0.93 | 0.00 
31.png | 17xu777 | am | ✗ | 0.92 | 0.00 
32.png | 09vp019 | 09vp019 | ✓ | 0.97 | 1.00 
33.png | 36va047 | ami36va047 | ✗ | 0.41 | 0.57 
34.png | 35mv523 | a135mv523 | ✗ | 0.75 | 0.71 
35.png | 01og070 | am | ✗ | 1.00 | 0.00 
36.png | 35fc747 | am | ✗ | 0.97 | 0.00 
37.png | 36sq670 | am | ✗ | 0.90 | 0.00 
38.png | 36ml879 | am | ✗ | 0.99 | 0.14 
39.png | 36qz976 | 36qz976 | ✓ | 0.90 | 1.00 
4.png | 36ro464 | am | ✗ | 0.99 | 0.00 
40.png | 20dq777 | 2udq777 | ✗ | 0.19 | 0.86 
41.png | 37al876 | 37al876 | ✓ | 0.94 | 1.00 
42.png | 11ta177 | ami | ✗ | 0.63 | 0.14 
43.png | 36ud192 | ami36ud192 | ✗ | 0.51 | 0.57 
44.png | 36mc231 | 36 | ✗ | 1.00 | 0.29 
45.png | 11dd171 | am | ✗ | 0.88 | 0.00 
46.png | 40va440 | 04gva440 | ✗ | 0.28 | 0.71 
47.png | 84zz999 | 584zz999 | ✗ | 0.36 | 0.86 
48.png | 37ot007 | aml | ✗ | 0.78 | 0.00 
49.png | 01af050 | 01af050_ | ✗ | 0.57 | 0.86 
5.png | 94oc999 | 94oc999 | ✓ | 0.99 | 1.00 
50.png | 80nm800 | 86nmb61 | ✗ | 0.24 | 0.43 
51.png | 36dt299 | 36dt299 | ✓ | 0.89 | 1.00 
52.png | 37al605 | 37al605 | ✓ | 1.00 | 1.00 
53.png | 36xv651 | 36xv651 | ✓ | 1.00 | 1.00 
54.png | 36rn374 | ami | ✗ | 0.66 | 0.00 
55.png | 36pv764 | am136pv764 | ✗ | 0.53 | 0.57 
56.png | 34st603 | am | ✗ | 0.97 | 0.00 
57.png | 44vv441 | am | ✗ | 0.39 | 0.00 
58.png | 36vm782 | 36vm782 | ✓ | 1.00 | 1.00 
59.png | 87ng087 | 87ng087 | ✓ | 0.97 | 1.00 
6.png | 38mx402 | 36mx402 | ✗ | 0.98 | 0.86 
60.png | 29rd999 | 29rd999 | ✓ | 0.98 | 1.00 
61.png | 50on500 | ami | ✗ | 0.63 | 0.00 
613.png | 36zd555 | 36zd555 | ✓ | 0.92 | 1.00 
614.png | 36pr676 | 136pr676 | ✗ | 0.72 | 0.86 
615.png | 60ma900 | 6oma%0 | ✗ | 0.62 | 0.57 
616.png | 73mo007 | 73mo007 | ✓ | 0.45 | 1.00 
617.png | 50xo002 | 50xo002 | ✓ | 0.88 | 1.00 
618.png | 47ta777 | 47ta777 | ✓ | 0.88 | 1.00 
619.png | 36xx311 | 36xx311 | ✓ | 0.96 | 1.00 
62.png | 69dd966 | 162dd966 | ✗ | 0.67 | 0.71 
620.png | 78qq080 | 78qq080 | ✓ | 0.94 | 1.00 
621.png | 01tg202 | am | ✗ | 0.94 | 0.00 
622.png | 34vz377 | 34vz377 | ✓ | 0.93 | 1.00 
623.png | 34qf966 | am | ✗ | 0.99 | 0.00 
624.png | 34vv846 | 34vv846 | ✓ | 0.91 | 1.00 
625.png | 99mg899 | am | ✗ | 0.97 | 0.14 
626.png | 97ss097 | 5197ss097 | ✗ | 0.38 | 0.71 
627.png | 36um433 | 36um433 | ✓ | 0.96 | 1.00 
628.png | 36nr181 | am | ✗ | 1.00 | 0.00 
629.png | 36sm685 | am | ✗ | 1.00 | 0.14 
63.png | 65vf065 | 65vf065 | ✓ | 0.41 | 1.00 
630.png | 36oz055 | 4i36oz055 | ✗ | 0.61 | 0.71 
631.png | 35tm705 | 135tm705 | ✗ | 0.84 | 0.86 
632.png | 11aa700 | 11aa700 | ✓ | 0.85 | 1.00 
633.png | 71vf071 | 71vf071 | ✓ | 0.97 | 1.00 
634.png | 35nf130 | am | ✗ | 0.96 | 0.00 
635.png | 36ur958 | am | ✗ | 1.00 | 0.00 
636.png | 36mg488 | c1bgmg488 | ✗ | 0.20 | 0.43 
637.png | 37cp216 | am | ✗ | 0.99 | 0.00 
638.png | 36xr845 | am | ✗ | 0.98 | 0.00 
639.png | 36rs727 | am | ✗ | 0.99 | 0.00 
64.png | 37cg114 | am | ✗ | 0.99 | 0.00 
640.png | 48ar048 | 48ar048 | ✓ | 0.95 | 1.00 
641.png | 77ru100 | 77ru10 | ✗ | 0.87 | 0.86 
642.png | 35tv572 | am | ✗ | 0.99 | 0.00 
643.png | 36fu701 | 36fu701 | ✓ | 0.95 | 1.00 
644.png | 36gm347 | 36gm347 | ✓ | 0.94 | 1.00 
645.png | 36sz961 | am | ✗ | 1.00 | 0.00 
646.png | 35mv523 | e5mv523 | ✗ | 0.44 | 0.86 
647.png | 36sg968 | 36sg968 | ✓ | 0.95 | 1.00 
648.png | 77lx772 | am | ✗ | 0.99 | 0.00 
649.png | 50an001 | am | ✗ | 0.91 | 0.14 
65.png | 36mf927 | 36mf927 | ✓ | 0.89 | 1.00 
650.png | 20ou575 | "200u575 | ✗ | 0.41 | 0.71 
651.png | 36rc649 | am | ✗ | 0.96 | 0.00 
652.png | 35sg722 | 435sg722 | ✗ | 0.69 | 0.86 
653.png | 36vz031 | 36vz031 | ✓ | 0.98 | 1.00 
654.png | 70ta001 | am | ✗ | 0.96 | 0.14 
655.png | 36tq209 | 136tq209 | ✗ | 0.93 | 0.86 
