Image Name | Expected Plate | Detected Plate | Match  | CER 
--------------------------------------------------------------------------------
004W26.png | zh933108 | 15zh933108' | ✗ | 0.62 
005LAZ9.png | 7vtg00 | [(7vtg00) | ✗ | 0.50 
00E8V.png | 6a83007 | i6a83007] | ✗ | 0.71 
00PP8BS.png | sb84400 | nh=>)) | ✗ | 0.00 
06I846.png | 9t81190 | #9t8°1190 | ✗ | 0.71 
06L9.png | etb903 | etb903; | ✗ | 0.83 
08G9VY.png | 4a49850 | b4a49850 | ✗ | 0.86 
08ZCZ.png | rp73280 | rp:73280} | ✗ | 0.71 
09CI0Z5.png | z01350 | <i=a201350: | ✗ | 0.00 
09CL0ZE.png | z01350 | il201350% | ✗ | 0.33 
0C96ZVZ.png | 2az9530 | mm2az°9530 | ✗ | 0.57 
0E96HZ6.png | hz933108 | 45zh955108' | ✗ | 0.25 
0E96Z.png | zh933108 | 3zh933108+ | ✗ | 0.75 
0P9SZ35.png | scz56402 | scz:564025 | ✗ | 0.75 
0Z1L0VZ.png | 2aj1420 | 2a1420} | ✗ | 0.71 
0Z686ZC.png | 3z98970 | 3798970} | ✗ | 0.71 
0Z98LX.png | xtr520 | xtr5201 | ✗ | 0.83 
0ZVZASC.png | 3sy2120 | 3sy°2120j | ✗ | 0.71 
1.png | 36ml892 | mut36ml892 | ✗ | 0.57 
10.png | 77fp776 | “tert16 | ✗ | 0.14 
12.png | 35ug680 | 135ug686 | ✗ | 0.71 
13.png | 36tu537 | wl36tus | ✗ | 0.29 
14.png | 01of101 | u1of161 | ✗ | 0.71 
15.png | 44aa474 | ul44aa474) | ✗ | 0.57 
16.png | 36pq246 | ml36pq246) | ✗ | 0.57 
17.png | 09qq800 | g9qq8gg) | ✗ | 0.43 
18.png | 78cz788 | ww28cz788 | ✗ | 0.57 
19.png | 91xd091 | am91xdg91 | ✗ | 0.57 
1B09HSY.png | ksh509 | ‘ksh509} | ✗ | 0.67 
2.png | 37an932 | m™32an932; | ✗ | 0.43 
20.png | 35gv213 | sul09gv2135 | ✗ | 0.14 
21.png | 60oq404 | au60oq404 | ✗ | 0.71 
22.png | 60xq909 | 160xq9g9 | ✗ | 0.71 
23.png | 89gm777 | iu89gm777 | ✗ | 0.71 
24.png | 07tm717 | oulo72tm717 | ✗ | 0.29 
25.png | 36fx312 | amjofx512 | ✗ | 0.29 
26.png | 04aa202 | sm’04aa262 | ✗ | 0.43 
27.png | 23qq777 | 2300777: | ✗ | 0.57 
28.png | 35mf902 | aml35me902 | ✗ | 0.43 
29.png | 36ux923 | eaukyts | ✗ | 0.14 
30.png | 88sl818 | ml86sl818 | ✗ | 0.57 
31.png | 17xu777 | aul17xu777 | ✗ | 0.57 
32.png | 09vp019 | wwu9vpg1 | ✗ | 0.29 
33.png | 36va047 | awl36vag47 | ✗ | 0.43 
36.png | 35fc747 | iw!39fc747 | ✗ | 0.43 
37.png | 36sq670 | *36:sq:67g | ✗ | 0.43 
39327125-39327125_2_0.png | js929sj | mejs929sj | ✗ | 0.71 
39328108-39328108_10_0.png | mm569mm | femn569mm | ✗ | 0.57 
