Image Name | Expected Plate | Detected Plate | Match | CER 
--------------------------------------------------------------------------------
1.png | 36ml892 | mut36ml892 | ✗ | 0.57 
10.png | 77fp776 | “tert16 | ✗ | 0.14 
12.png | 35ug680 | 135ug686 | ✗ | 0.71 
13.png | 36tu537 | wl36tus | ✗ | 0.29 
14.png | 01of101 | u1of161 | ✗ | 0.71 
15.png | 44aa474 | ul44aa474) | ✗ | 0.57 
16.png | 36pq246 | ml36pq246) | ✗ | 0.57 
17.png | 09qq800 | g9qq8gg) | ✗ | 0.43 
18.png | 78cz788 | ww28cz788 | ✗ | 0.57 
19.png | 91xd091 | am91xdg91 | ✗ | 0.57 
2.png | 37an932 | m™32an932; | ✗ | 0.43 
20.png | 35gv213 | sul09gv2135 | ✗ | 0.14 
21.png | 60oq404 | au60oq404 | ✗ | 0.71 
22.png | 60xq909 | 160xq9g9 | ✗ | 0.71 
23.png | 89gm777 | iu89gm777 | ✗ | 0.71 
24.png | 07tm717 | oulo72tm717 | ✗ | 0.29 
25.png | 36fx312 | amjofx512 | ✗ | 0.29 
26.png | 04aa202 | sm’04aa262 | ✗ | 0.43 
27.png | 23qq777 | 2300777: | ✗ | 0.57 
28.png | 35mf902 | aml35me902 | ✗ | 0.43 
29.png | 36ux923 | eaukyts | ✗ | 0.14 
30.png | 88sl818 | ml86sl818 | ✗ | 0.57 
31.png | 17xu777 | aul17xu777 | ✗ | 0.57 
32.png | 09vp019 | wwu9vpg1 | ✗ | 0.29 
33.png | 36va047 | awl36vag47 | ✗ | 0.43 
36.png | 35fc747 | iw!39fc747 | ✗ | 0.43 
37.png | 36sq670 | *36:sq:67g | ✗ | 0.43 
4.png | 36ro464 | mm30ro464] | ✗ | 0.43 
40.png | 20dq777 | wl20dq777 | ✗ | 0.71 
41.png | 37al876 | rut32al876] | ✗ | 0.29 
42.png | 11ta177 | amtllta177 | ✗ | 0.29 
44.png | 36mc231 | aul36mc231: | ✗ | 0.43 
45.png | 11dd171 | iw44dd171 | ✗ | 0.43 
46.png | 40va440 | ™4gva446) | ✗ | 0.43 
47.png | 84zz999 | mul84zz999 | ✗ | 0.57 
48.png | 37ot007 | ml07otg07: | ✗ | 0.29 
49.png | 01af050 | am161afg50 | ✗ | 0.29 
5.png | 94oc999 | 194oc999 | ✗ | 0.86 
50.png | 80nm800 | aul80nm800 | ✗ | 0.57 
51.png | 36dt299 | os36dt299 | ✗ | 0.71 
52.png | 37al605 | my37al605) | ✗ | 0.57 
53.png | 36xv651 | mt36xv651: | ✗ | 0.57 
54.png | 36rn374 | ul30rn374 | ✗ | 0.57 
55.png | 36pv764 | ml36pv764 | ✗ | 0.71 
56.png | 34st603 | $4st603; | ✗ | 0.71 
57.png | 44vv441 | mgayg44 | ✗ | 0.14 
58.png | 36vm782 | iw36vm782 | ✗ | 0.71 
59.png | 87ng087 | au87ngg87 | ✗ | 0.57 
6.png | 38mx402 | ix!36mx402] | ✗ | 0.29 
60.png | 29rd999 | ml29rd999 | ✗ | 0.71 
61.png | 50on500 | «ul5gon500 | ✗ | 0.43 
613.png | 36zd555 | mw30zd559 | ✗ | 0.43 
615.png | 60ma900 | =60ma906leeeeesee | ✗ | -0.57 
616.png | 73mo007 | aw25mogg7 | ✗ | 0.14 
618.png | 47ta777 | aml47ta777 | ✗ | 0.57 
619.png | 36xx311 | am’30xx511 | ✗ | 0.29 
620.png | 78qq080 | aut78qqg86 | ✗ | 0.29 
621.png | 01tg202 | mw!61tg202 | ✗ | 0.43 
622.png | 34vz377 | nw04vz377] | ✗ | 0.43 
623.png | 34qf966 | aw!04qf966 | ✗ | 0.43 
624.png | 34vv846 | mu04vv846 | ✗ | 0.57 
625.png | 99mg899 | mm99mg899 | ✗ | 0.71 
626.png | 97ss097 | aitsst | ✗ | 0.14 
627.png | 36um433 | aw36um433 | ✗ | 0.71 
63.png | 65vf065 | «ul65veg69 | ✗ | 0.14 
631.png | 35tm705 | mi391m709 | ✗ | 0.29 
632.png | 11aa700 | ™14aa766 | ✗ | 0.43 
633.png | 71vf071 | ww71veg71 | ✗ | 0.43 
635.png | 36ur958 | im30ur958 | ✗ | 0.57 
636.png | 36mg488 | m136hg488 | ✗ | 0.57 
637.png | 37cp216 | om37cp216) | ✗ | 0.57 
638.png | 36xr845 | aw30xr845 | ✗ | 0.57 
639.png | 36rs727 | mm30rs727 | ✗ | 0.57 
64.png | 37cg114 | ww37cg114 | ✗ | 0.71 
640.png | 48ar048 | aul48ar048 | ✗ | 0.57 
641.png | 77ru100 | mt?7ru166u | ✗ | 0.14 
642.png | 35tv572 | aul3dtv972 | ✗ | 0.29 
643.png | 36fu701 | aw00fu | ✗ | 0.00 
644.png | 36gm347 | aw30gm347 | ✗ | 0.57 
647.png | 36sg968 | ms30sa968] | ✗ | 0.29 
648.png | 77lx772 | wm02lx772 | ✗ | 0.43 
649.png | 50an001 | awouang61 | ✗ | 0.14 
65.png | 36mf927 | aw30me927 | ✗ | 0.43 
650.png | 20ou575 | 200n575 | ✗ | 0.71 
652.png | 35sg722 | awl35sg7224) | ✗ | 0.29 
653.png | 36vz031 | aw00vzg31 | ✗ | 0.29 
654.png | 70ta001 | i!7gtag61 | ✗ | 0.29 
655.png | 36tq209 | mi36tq209 | ✗ | 0.71 
656.png | 001ot01 | ig61otg1 | ✗ | 0.43 
657.png | 35dv691 | 139dv6914 | ✗ | 0.57 
658.png | 36uz471 | m136uz471 | ✗ | 0.71 
659.png | 35co472 | idocog72 | ✗ | 0.43 
66.png | 71sg071 | mt7sg674 | ✗ | 0.29 
660.png | 36mf879 | eal00me879 | ✗ | 0.14 
661.png | 36qs557 | m36qs557 | ✗ | 0.86 
662.png | 25am222 | aswai | ✗ | 0.14 
663.png | 32cc111 | il32gg111) | ✗ | 0.29 
664.png | 77ul677 | om2?ul67 | ✗ | 0.29 
665.png | 36nm352 | awl30nm352 | ✗ | 0.43 
666.png | 04so880 | awu4so886 | ✗ | 0.43 
667.png | 60lx060 | aana | ✗ | 0.00 
668.png | 35qz727 | wi39qz727 | ✗ | 0.57 
669.png | 23ll611 | 2511611; | ✗ | 0.43 
67.png | 36td096 | mm00tdu9 | ✗ | 0.14 
671.png | 95qr999 | a°\95r999 | ✗ | 0.43 
672.png | 06uu700 | »»u6uu76 | ✗ | 0.29 
675.png | 36og536 | awl90og536 | ✗ | 0.29 
676.png | 36mq853 | 056mq853 | ✗ | 0.71 
679.png | 36xf837 | sm30xf857 | ✗ | 0.43 
68.png | 58va588 | am58va588 | ✗ | 0.71 
680.png | 36fg211 | mi36fg211 | ✗ | 0.71 
681.png | 36pt316 | a:136pt316 | ✗ | 0.57 
682.png | 36zg560 | wm002g566 | ✗ | 0.14 
683.png | 30vu030 | wml30vuo30 | ✗ | 0.43 
684.png | 36qv108 | 36qv168 | ✗ | 0.86 
685.png | 36tl897 | ml30tl897 | ✗ | 0.57 
686.png | 55lx545 | taw!99lx545 | ✗ | 0.14 
688.png | 44md441 | ol44md441: | ✗ | 0.57 
689.png | 12am122 | a12am122 | ✗ | 0.86 
69.png | 35qa066 | su)35qag66: | ✗ | 0.29 
690.png | 78mn008 | ow28mngos | ✗ | 0.14 
691.png | 55sv535 | ijoovdod | ✗ | 0.00 
693.png | 37at454 | ow07at454 | ✗ | 0.57 
694.png | 36of282 | awl36of282 | ✗ | 0.57 
